Month,Posting Date,Category,CustomerName,,Ship-to Code,BILL TO STATE,Item/Service Description,Qty,Basic Value
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Andhra Pradesh,SBA20-KONCERT-BK,-1,"-1,524.60"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Andhra Pradesh,BTW12-KHROME-PL,-1,"-1,016.10"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Madhya Pradesh,SBA10 GOLD,-1,-846.6
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Uttar Pradesh,BTW100 XTREME BK,-1,"-1,100.80"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Gujarat,SBA10 GOLD,-1,-931.4
May-2024,06/05/2024,Customer Sale,DELHIVERY-COD,,,Delhi,ATOMIK BB20 BK,-1,"-1,672.90"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Delhi,BH31 BK,-1,"-1,185.60"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Tamil Nadu,BTW300 BK,-1,"-1,270.30"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Uttar Pradesh,SBA10 GOLD,-1,-846.61
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Maharashtra,SBA15 BK,-1,-804.2
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Telangana,SBA20 BK,-1,"-1,143.20"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,West Bengal,BTW12 KHROME BK,-1,"-1,007.63"
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Delhi,PS150-BK,-1,"-16,093.20"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Karnataka,SBA15 BK,-1,-804.2
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Tamil Nadu,BTW100-XTREME-BL,-1,"-1,100.80"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Maharashtra,SBA10 GOLD,-1,-846.61
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Jharkhand,EM06-TYPE-C-BL,-1,-295.8
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Karnataka,SBA20 BK,-1,"-1,185.59"
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Uttar Pradesh,EM06-TYPE-C-BK,-1,-380.5
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Odisha,BTW09-AIR-BL,-1,-846.6
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Odisha,SBA15 BK,-1,-846.6
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Uttar Pradesh,SBA20 BK,-1,"-1,143.20"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Bihar,BTW300 BK,-1,"-1,270.30"
May-2024,06/05/2024,Customer Sale,CRED-B2C SALE,,,Delhi,BT03 BK,-1,-719.5
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Haryana,SBA20 BK,-1,"-1,143.20"
May-2024,06/05/2024,Customer Sale,BI WORLD WIDE INDIA PVT. LTD,,CHENNAI,Tamil Nadu,BTW12 KHROME BK,100,"113,729.00"
